,delivery_region,lot_name,count
10673,Москва,Текущий ремонт зданий и сооружений культуры и образования....,4518
9528,Москва,Расходные материалы и комплектующие для лазерных принтеров и МФУ...,3620
16394,Пермский,ОКПД 2,2694
11061,Москва,"Услуги информационно-технологические (ит), обеспечение информационной безопасности...",2669
11148,Москва,"Услуги по очистке крыш от снега, наледи и сосулек....",2583
5793,Москва,Бумага для офисной техники белая,2383
8120,Москва,Облучатели-рециркуляторы бактерицидные,2235
11838,Москва,Элементы питания (батарейки)....,2088
5455,Москва,Антисептики кожные,2075
2130,Кемеровская область - Кузбасс,ОКПД 2,1991
7566,Москва,Маски медицинские нестерильные одноразовые,1932
18670,Псковская,ОКПД 2,1658
13470,Новгородская,ОКПД 2,1522
8965,Москва,Посуда одноразовая пластмассовая,1469
5994,Москва,Вывоз снега....,1457
5950,Москва,Вода питьевая,1345
10455,Москва,"Стенды, карманы информационные...",1339
10286,Москва,Средства дезинфицирующие хозяйственные,1336
4584,Краснодарский,Услуги по профессиональному обучению прочие,1332
11133,Москва,Услуги по обращению с прочими отходами....,1323
7820,Москва,"Монтаж, установка, сборка прочего оборудования....",1310
5992,Москва,Вывоз отходов (кроме радиологических)....,1298
9932,Москва,Сервисное сопровождение прикладных систем,1214
8704,Москва,Печатные работы....,1209
8690,Москва,Перчатки...,1195
3047,Краснодарский,Бумага печатная прочая,1193
10144,Москва,Снегоотбрасыватели малогабаритные...,1124
5730,Москва,Бланки (кроме бухгалтерских),1021
8693,Москва,Песок строительный,994
6227,Москва,Диспенсеры и дозаторы,972
10964,Москва,"Уборка территорий, прилегающих к зданиям образовательных организаций....",972
10800,Москва,Техническое обслуживание и содержание зеленых насаждений....,966
7983,Москва,Награды,963
9136,Москва,Проведение экспертизы технического состояния....,952
10787,Москва,Техническая поддержка программного обеспечения,933
5690,Москва,Бахилы медицинские,915
8821,Москва,Поверочные услуги....,877
10813,Москва,Техническое обслуживание и текущий ремонт легковых автомобилей....,876
10961,Москва,Уборка зданий образовательных организаций....,876
10758,Москва,Термометр электронный,875
8098,Москва,Ноутбук...,862
14674,Новосибирская,"Продукты пищевые животного происхождения прочие, не включенные в другие группировки",853
8288,Москва,Обслуживание техническое и текущий ремонт инженерных коммуникаций в зданиях....,830
11057,Москва,Услуги дезинфекции....,802
17289,Пермский,Услуги медицинских лабораторий,795
4450,Краснодарский,Услуги по заправке картриджей для принтеров,778
9245,Москва,Прочее оборудование и инвентарь для ЖКХ...,774
9838,Москва,СВОБОДНА,773
7336,Москва,Кресла офисные,772
11192,Москва,Услуги по стирке и обработке белья....,761
11096,Москва,Услуги по вывозу снега с территорий образовательных организаций....,754
9657,Москва,Реагенты противогололедные твердые...,735
5945,Москва,Внутригородская перевозка грузов и корреспонденции....,732
10824,Москва,Техническое обслуживание и текущий ремонт прочего оборудования и инвентаря....,728
7451,Москва,Лента клейкая упаковочная,723
11161,Москва,Услуги по предоставлению доступа к программному продукту,708
7018,Москва,Клининговые услуги,705
242,Березники,"Части и принадлежности для автотранспортных средств прочие, не включенные в другие группировки",703
16039,Пермский,"Инструменты и приспособления, применяемые в медицинских целях, прочие, не включенные в другие группировки",699
6508,Москва,Изготовление информационных стендов. Табличек....,696
7738,Москва,Многофункциональное устройство (МФУ),694
8298,Москва,Обслуживание техническое и текущий ремонт нежилых помещений и зданий....,690
10819,Москва,Техническое обслуживание и текущий ремонт охранно-пожарных систем....,687
8675,Москва,Перчатки из полимерных материалов для защиты от внешних воздействий,680
8048,Москва,Настенно-потолочные светильники....,679
11202,Москва,"Услуги по уборке зданий и территорий, за исключением крыш, помещений медицинских организаций и помещений образовательных организаций....",673
10831,Москва,Техническое обслуживание и текущий ремонт спецтехники....,656
4861,Краснодарский,Части и принадлежности прочих офисных машин,652
11230,Москва,Услуги радио....,652
11076,Москва,Услуги мобильной телефонной связи....,652
9189,Москва,"Прокат ковров, покрытий....",645
9992,Москва,Системы видеоконтроля и видеонаблюдения.,645
5521,Москва,Аптечки медицинские,642
11400,Москва,Учебные пособия...,635
9314,Москва,Работы по изготовлению бумажной полиграфической продукции....,634
9872,Москва,Санитарное содержание и уборка нежилых помещений....,632
9247,Москва,"Прочее оборудование систем охраны, обеспечения безопасности.",632
10814,Москва,Техническое обслуживание и текущий ремонт лифтового оборудования,626
10667,Москва,Текущий ремонт административных зданий....,616
2317,Кемеровская область - Кузбасс,"Продукты пищевые прочие, не включенные в другие группировки",613
11115,Москва,Услуги по обработке данных,610
7719,Москва,"Мешки, чехлы, пакеты, сумки полимерные....",609
10764,Москва,Термометры медицинские,609
3004,Краснодарский,"Бензин автомобильный с октановым числом более 92, но не более 95 по исследовательскому методу экологического класса К5",608
8295,Москва,Обслуживание техническое и текущий ремонт медицинского оборудования....,604
6634,Москва,Инвентарь для санузлов пластмассовый,603
10835,Москва,Техническое обслуживание и текущий ремонт технологического оборудования....,595
10304,Москва,Средства для посудомоечных машин,592
10798,Москва,Техническое обслуживание и ремонт средств пожаротушения....,581
7825,Москва,"Монтаж, установка, сборка систем охранного видеонаблюдения....",577
9187,Москва,Прокат арматурный,575
9227,Москва,Противопожарное оборудование,553
11388,Москва,Учебники печатные общеобразовательного назначения....,543
16863,Пермский,"Работы строительные специализированные прочие, не включенные в другие группировки",542
8532,Москва,Оценка специальная условий труда....,536
5858,Москва,Веб-камера....,530
8393,Москва,Огнетушители.,530
7065,Москва,Ковры....,526
9984,Москва,Системное обслуживание (администрирование) информационных систем и ресурсов,523
17241,Пермский,"Услуги в области медицины прочие, не включенные в другие группировки",521
11208,Москва,Услуги по уходу....,511
11273,Москва,Услуги физической охраны....,510
17553,Пермский,"Услуги по ремонту и техническому обслуживанию прочего оборудования специального назначения, не включенные в другие группировки",508
23792,Ямало-Ненецкий,ОКПД 2,506
4732,Краснодарский,Услуги систем обеспечения безопасности,502
3039,Краснодарский,Бумага для печати прочая,497
6342,Москва,Журналы (книги) регистрации и учета специализированные.,496
10797,Москва,Техническое обслуживание и ремонт контрольно-кассовой техники (ккт)....,496
4435,Краснодарский,Услуги охраны,483
5990,Москва,"Вывоз объектов, подлежащих утилизации....",483
9315,Москва,Работы по изготовлению полиграфической продукции,480
7174,Москва,Компьютеры персональные настольные (моноблоки)...,460
8374,Москва,Обучение по дополнительным образовательным программам....,460
9753,Москва,"Ремонт текущий нежилых зданий, помещений и сооружений, кроме линейных объектов",459
9159,Москва,Программное обеспечение прикладное для автоматизированных рабочих мест (кроме заказного),459
10841,Москва,Техническое обслуживание оргтехники для офиса....,453
9776,Москва,Респираторы,451
20966,Сургут,Услуги по профессиональному обучению прочие,446
10811,Москва,Техническое обслуживание и текущий ремонт климатического оборудования,446
7182,Москва,Кондиционеры бытовые....,441
10689,Москва,Текущий ремонт прочих объектов....,441
7235,Москва,Контейнеры и другие емкости для мусора пластмассовые,436
6366,Москва,Замеры электробезопасности....,435
10825,Москва,Техническое обслуживание и текущий ремонт прочего транспорта....,432
5991,Москва,Вывоз отходов (кроме биологических),430
4557,Краснодарский,Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение,427
11135,Москва,Услуги по обращению с твердыми коммунальными отходами....,426
8985,Москва,Предметы интерьера декоративные,416
10820,Москва,Техническое обслуживание и текущий ремонт охранного оборудования....,415
7401,Москва,Лабораторные приборы и принадлежности для фронтальных и лабораторно-практических работ...,415
5705,Москва,Бетон,414
8974,Москва,Посудомоечная машина...,413
4510,Краснодарский,Услуги по оценке условий труда,413
8687,Москва,Перчатки хозяйственные полимерные,409
7197,Москва,"Консалтинг финансовый, бухгалтерский, услуги прочие....",407
6637,Москва,Инвентарь для спасательных служб и служб гражданской обороны прочий.,403
15971,Пермский,"Изделия медицинские, в том числе хирургические, прочие, не включенные в другие группировки",403
5531,Москва,Аренда автобусов....,402
11219,Москва,Услуги по эксплуатации информационных систем и программно-технического комплекса,401
4946,Краснодарский,Яйца куриные в скорлупе свежие,401
8409,Москва,Одежда специальная для защиты от общих производственных загрязнений и механических воздействий,400
6527,Москва,"Изготовление рекламных конструкций, информационно-коммуникационных указателей",400
8676,Москва,Перчатки резиновые общего назначения (кроме медицинских),392
6515,Москва,Изготовление мебели....,391
9896,Москва,Светильник светодиодный внутреннего освещения....,390
6579,Москва,Изделия расходные строительные прочие...,390
9501,Москва,Расходные материалы для культуры и искусства прочие,389
7821,Москва,"Монтаж, установка, сборка систем контроля и управления доступом....",382
10700,Москва,Телевизоры...,381
5322,Москва,USB-накопители твердотельные (флеш-драйвы)....,380
6168,Москва,Декоративные изделия для благоустройства территории....,379
9292,Москва,Пылесос...,379
9447,Москва,Разработка технического заключения...,379
